Main thread
Entered thread2! Thread ID: 3066668240

Entered Child 1! Thread ID: 3068765392

Count of j is 26
Count of q is 4
Count of x is 84
Count of z is 12
Time taken for thread 1 execution = 0.020000 seconds

CPU Utilization = 21.092460 %
CPU Utilization = 21.100794 %
CPU Utilization = 21.109127 %
CPU Utilization = 21.117458 %
CPU Utilization = 21.125787 %
CPU Utilization = 21.134115 %
CPU Utilization = 21.142440 %
CPU Utilization = 21.150764 %
CPU Utilization = 21.159087 %
CPU Utilization = 21.167407 %
CPU Utilization = 21.175726 %
CPU Utilization = 21.184043 %
CPU Utilization = 21.192358 %
CPU Utilization = 21.200671 %
CPU Utilization = 21.208983 %
CPU Utilization = 21.217293 %
CPU Utilization = 21.225601 %
CPU Utilization = 21.233908 %
CPU Utilization = 21.242212 %
CPU Utilization = 21.250515 %
CPU Utilization = 21.258816 %
CPU Utilization = 21.267116 %
CPU Utilization = 21.275413 %
CPU Utilization = 21.283709 %
CPU Utilization = 21.292004 %
CPU Utilization = 21.300296 %
CPU Utilization = 21.308587 %
CPU Utilization = 21.316876 %
CPU Utilization = 21.325163 %
CPU Utilization = 21.333448 %
CPU Utilization = 21.341732 %
CPU Utilization = 21.350014 %
CPU Utilization = 21.358294 %
CPU Utilization = 21.366573 %
CPU Utilization = 21.374849 %
CPU Utilization = 21.383124 %
CPU Utilization = 21.391398 %
CPU Utilization = 21.399669 %
CPU Utilization = 21.407939 %
CPU Utilization = 21.416207 %
CPU Utilization = 21.424473 %
CPU Utilization = 21.432738 %
CPU Utilization = 21.441000 %
CPU Utilization = 21.449262 %
CPU Utilization = 21.457521 %
CPU Utilization = 21.465778 %
CPU Utilization = 21.474034 %
CPU Utilization = 21.482288 %
CPU Utilization = 21.490541 %
CPU Utilization = 21.498791 %
CPU Utilization = 21.506291 %
CPU Utilization = 21.515288 %
CPU Utilization = 21.523533 %
CPU Utilization = 21.531777 %
CPU Utilization = 21.540019 %
CPU Utilization = 21.548259 %
CPU Utilization = 21.556497 %
CPU Utilization = 21.564734 %
CPU Utilization = 21.572969 %
CPU Utilization = 21.581203 %
CPU Utilization = 21.589434 %
CPU Utilization = 21.597664 %
CPU Utilization = 21.605892 %
CPU Utilization = 21.614119 %
CPU Utilization = 21.622343 %
CPU Utilization = 21.630566 %
CPU Utilization = 21.638788 %
CPU Utilization = 21.647007 %
CPU Utilization = 21.655225 %
CPU Utilization = 21.663441 %
CPU Utilization = 21.671655 %
CPU Utilization = 21.679868 %
CPU Utilization = 21.688079 %
CPU Utilization = 21.696288 %
CPU Utilization = 21.704496 %
CPU Utilization = 21.712701 %
CPU Utilization = 21.720160 %
CPU Utilization = 21.728362 %
CPU Utilization = 21.736563 %
CPU Utilization = 21.744762 %
CPU Utilization = 21.752959 %
CPU Utilization = 21.761155 %
CPU Utilization = 21.769349 %
CPU Utilization = 21.777541 %
CPU Utilization = 21.785731 %
CPU Utilization = 21.793920 %
CPU Utilization = 21.802107 %
CPU Utilization = 21.810292 %
CPU Utilization = 21.818476 %
CPU Utilization = 21.826658 %
CPU Utilization = 21.834838 %
CPU Utilization = 21.843016 %
CPU Utilization = 21.851193 %
CPU Utilization = 21.859368 %
CPU Utilization = 21.867541 %
CPU Utilization = 21.875713 %
CPU Utilization = 21.883883 %
CPU Utilization = 21.892051 %
CPU Utilization = 21.900218 %
CPU Utilization = 21.908382 %
CPU Utilization = 21.916546 %
CPU Utilization = 21.924707 %
CPU Utilization = 21.932867 %
CPU Utilization = 21.941024 %
CPU Utilization = 21.949181 %
CPU Utilization = 21.957335 %
CPU Utilization = 21.965488 %
CPU Utilization = 21.973639 %
CPU Utilization = 21.981789 %
CPU Utilization = 21.989936 %
CPU Utilization = 21.998082 %
CPU Utilization = 22.006227 %
CPU Utilization = 22.014369 %
CPU Utilization = 22.022510 %
CPU Utilization = 22.030650 %
CPU Utilization = 22.038787 %
CPU Utilization = 22.046923 %
CPU Utilization = 22.055057 %
CPU Utilization = 22.063189 %
CPU Utilization = 22.071320 %
CPU Utilization = 22.079449 %
CPU Utilization = 22.087577 %
CPU Utilization = 22.095702 %
CPU Utilization = 22.103826 %
CPU Utilization = 22.111948 %
CPU Utilization = 22.120069 %
Thread 2 Exit due to USR2 signal
Time taken for thread 2 execution = 12.850000 seconds
